WeekBeginning,Location,DateOfSample,NoOfSamples
2020-03-30,Belfast (LT/PSP/ASP),2020-03-30,4
2020-03-30,Paddy's Point (LT/PSP/ASP),2020-03-30,1
2020-03-30,Skate Rock (LT/PSP/ASP),2020-03-30,1
2020-03-30,Dundrum N (LT),2020-03-30,2
2020-03-30,Larne (LT/PSP/ASP),2020-03-31,1
2020-04-06,Belfast (LT/PSP/ASP),2020-04-06,4
2020-04-06,Carlingford (LT/PSP/ASP) ,2020-04-07,3
2020-04-06,Foyle (LT/PSP/ASP) ,2020-04-07,2
2020-04-06,Dundrum N (LT/PSP/ASP) ,2020-04-07,2
2020-04-06,Paddys Point (LT) ,2020-04-07,1
2020-04-06,Skate Rock (LT) ,2020-04-07,1
2020-04-13,Dundrum N (LT),2020-04-15,2
2020-04-13,Paddys Point (LT),2020-04-15,1
2020-04-13,Skate Rock (LT),2020-04-15,1
2020-04-13,Larne (LT),2020-04-15,1
2020-04-20,Belfast (LT),2020-04-20,4
2020-04-20,Killough (LT/PSP/ASP),2020-04-21,1
2020-04-20,Larne (LT),2020-04-21,1
2020-04-20,Dundrum N (LT) ,2020-04-21,2
2020-04-20,Paddys Point  (LT),2020-04-21,1
2020-04-20,Skate Rock (LT),2020-04-21,1
2020-04-20,Carlingford (LT/PSP/ASP) ,2020-04-22,4
2020-04-27,Dundrum N (LT),2020-04-27,2
2020-04-27,Paddys Point (LT/PSP/ASP),2020-04-27,1
2020-04-27,Skate Rock (LT/PSP/ASP),2020-04-27,1
2020-04-27,Larne (LT) ,2020-04-28,1
2020-05-04,Belfast (LT/PSP/ASP),2020-05-04,4
2020-05-04,Foyle (LT/PSP/ASP),2020-05-05,2
2020-05-04,Dundrum N (LT/PSP/ASP) ,2020-05-05,2
2020-05-04,Paddys Point (LT),2020-05-05,1
2020-05-04,Skate Rock (LT),2020-05-05,1
2020-05-04,Carlingford (LT/PSP/ASP) ,2020-05-06,3
2020-05-04,Larne (LT/PSP/ASP) ,2020-05-06,1
2020-05-11,Paddys Point (LT),2020-05-11,1
2020-05-11,Skate Rock (LT) ,2020-05-11,1
2020-05-18,Killough (LT/PSP/ASP),2020-05-19,1
2020-05-18,Paddys Point  (LT),2020-05-19,1
2020-05-18,Skate Rock (LT),2020-05-19,1
2020-05-18,Larne (LT) ,2020-05-19,1
2020-05-18,Carlingford (LT/PSP/ASP) ,2020-05-20,4
2020-05-25,Paddys Point (LT/PSP/ASP),2020-05-25,1
2020-05-25,Skate Rock (LT/PSP/ASP),2020-05-25,1
2020-06-01,Belfast (LT/PSP/ASP),2020-06-01,4
2020-06-01,Dundrum N (LT/PSP/ASP),2020-06-01,2
2020-06-01,Paddys Point (LT),2020-06-02,1
2020-06-01,Skate Rock (LT),2020-06-02,1
2020-06-01,Larne (LT/PSP/ASP),2020-06-02,1
2020-06-01,Carlingford (LT/PSP/ASP),2020-06-03,3
2020-06-01,Foyle (LT/PSP/ASP),2020-06-03,2
2020-06-08,Paddys Point (LT),2020-06-08,1
2020-06-08,Skate Rock (LT),2020-06-08,1
2020-06-08,Larne (LT),2020-06-09,1
2020-06-15,Belfast (LT/PSP),2020-06-15,4
2020-06-15,Dundrum N (LT),2020-06-15,2
2020-06-15,Killough (LT/PSP/ASP),2020-06-15,1
2020-06-15,Paddys Point (LT),2020-06-16,1
2020-06-15,Skate Rock (LT),2020-06-16,1
2020-06-15,Larne (LT),2020-06-16,1
2020-06-15,Carlingford (LT/PSP/ASP),2020-06-17,4
2020-06-22,Paddys Point (LT),2020-06-22,1
2020-06-22,Skate Rock (LT),2020-06-22,1
2020-06-22,Larne (LT),2020-06-22,1
2020-06-29,Belfast (LT/PSP),2020-06-29,4
2020-06-29,Dundrum N (LT),2020-06-29,2
2020-06-29,Paddys Point (LT/PSP/ASP),2020-06-30,1
2020-06-29,Skate Rock (LT/PSP/ASP),2020-06-30,1
2020-06-29,Larne (LT),2020-06-30,1
