WeekBeginning,Location,DateOfSample,NoOfSamples
2021-01-04,Belfast (LT/PSP/ASP),2021-01-04,4
2021-01-04,Strangford (LT/PSP/ASP),2021-01-04,1
2021-01-04,Dundrum N (LT/PSP/ASP),2021-01-04,2
2021-01-04,Killough (LT/PSP/ASP),2021-01-04,1
2021-01-04,Larne (LT/PSP/ASP),2021-01-05,1
2021-01-04,Strangford (LT/PSP/ASP),2021-01-05,1
2021-01-04,Carlingford (LT/PSP/ASP),2021-01-06,4
2021-01-11,Strangford (LT),2021-01-11,1
2021-01-11,Strangford (LT),2021-01-14,1
2021-01-11,Larne (LT),2021-01-12,1
2021-01-11,Foyle (LT/PSP/ASP),2021-01-12,4
2021-01-18,Dundrum N (LT),2021-01-18,2
2021-01-18,Strangford (LT),2021-01-18,1
2021-01-18,Strangford (LT),2021-01-19,1
2021-01-18,Carlingford (LT/PSP/ASP),2021-01-19,3
2021-01-18,Larne (LT),2021-01-19,1
2021-01-25,Larne (LT),2021-01-26,1
2021-01-25,Strangford (LT),2021-01-26,1
2021-01-25,Strangford (LT),2021-01-26,1
2021-02-01,Belfast (LT/PSP/ASP),2021-02-01,4
2021-02-01,Strangford (LT/PSP/ASP),2021-02-01,1
2021-02-01,Strangford (LT/PSP/ASP),2021-02-02,1
2021-02-01,Larne (LT/PSP/ASP),2021-02-02,1
2021-02-01,Dundrum N (LT/PSP/ASP),2021-02-02,2
2021-02-01,Killough (LT/PSP/ASP),2021-02-02,1
2021-02-01,Carlingford (LT/PSP/ASP),2021-02-03,4
2021-02-08,Belfast (LT),2021-02-08,4
2021-02-08,Dundrum N (LT),2021-02-08,2
2021-02-08,Strangford (LT),2021-02-09,1
2021-02-08,Strangford (LT),2021-02-09,1
2021-02-08,Larne (LT),2021-02-09,1
2021-02-08,Foyle (LT/PSP/ASP),2021-02-09,4
2021-02-15,Belfast (LT),2021-02-15,4
2021-02-15,Dundrum N (LT),2021-02-15,2
2021-02-15,Strangford (LT),2021-02-15,1
2021-02-15,Strangford (LT),2021-02-16,1
2021-02-15,Larne (LT),2021-02-16,1
2021-02-15,Carlingford (LT/PSP/ASP),2021-02-17,3
2021-02-22,Belfast (LT),2021-02-22,4
2021-02-22,Dundrum N (LT),2021-02-22,2
2021-02-22,Larne (LT),2021-02-23,1
2021-02-22,Strangford (LT),2021-02-23,1
2021-02-22,Strangford (LT),2021-02-23,1
2021-03-01,Belfast (LT/PSP/ASP),2021-03-01,4
2021-03-01,Strangford (LT/PSP/ASP),2021-03-01,1
2021-03-01,Strangford (LT/PSP/ASP),2021-03-02,1
2021-03-01,Larne (LT/PSP/ASP),2021-03-02,1
2021-03-01,Carlingford (LT/PSP/ASP),2021-03-02,4
2021-03-01,Dundrum N (LT/PSP/ASP),2021-03-03,2
2021-03-01,Killough (LT/PSP/ASP),2021-03-03,1
2021-03-08,Dundrum N (LT),2021-03-08,2
2021-03-08,Strangford (LT),2021-03-09,1
2021-03-08,Strangford (LT),2021-03-09,1
2021-03-08,Larne (LT),2021-03-09,1
2021-03-08,Foyle (LT/PSP/ASP),2021-03-09,4
2021-03-15,Belfast (LT),2021-03-15,4
2021-03-15,Strangford (LT),2021-03-15,1
2021-03-15,Strangford (LT),2021-03-16,1
2021-03-15,Larne (LT),2021-03-16,1
2021-03-15,Carlingford (LT/PSP/ASP),2021-03-16,3
2021-03-15,Dundrum N (LT),2021-03-16,2
2021-03-22,Strangford (LT),2021-03-22,1
2021-03-22,Strangford (LT),2021-03-23,1
2021-03-22,Dundrum N (LT),2021-03-23,2
2021-03-22,Larne (LT),2021-03-23,1
2021-03-29,Belfast (LT),2021-03-29,4
2021-03-29,Larne (LT),2021-03-30,1
2021-03-29,Carlingford (LT/PSP/ASP),2021-03-30,4
2021-03-29,Strangford (LT/PSP/ASP),2021-03-30,1
2021-03-29,Strangford (LT/PSP/ASP),2021-03-30,1
2021-03-29,Dundrum N (LT),2021-03-31,2
