WeekBeginning,Location,DateOfSample,NoOfSamples
2020-07-06,Belfast (LT/PSP/ASP) ,2020-07-06,4
2020-07-06,Larne (LT/PSP/ASP) ,2020-07-07,1
2020-07-06,Paddy's Point (LT) ,2020-07-07,1
2020-07-06,Skate Rock (LT),2020-07-06,1
2020-07-06,Dundrum N (LT/PSP/ASP),2020-07-08,2
2020-07-06,Killough (LT/PSP/ASP) ,2020-07-08,1
2020-07-06,Foyle (LT/PSP/ASP) ,2020-07-07,2
2020-07-06,Carlingford (LT/PSP/ASP) ,2020-07-07,3
2020-07-13,Belfast (ASP) ,2020-07-15,4
2020-07-13,Larne (LT),2020-07-16,1
2020-07-13,Paddy's Point (LT),2020-07-16,1
2020-07-13,Skate Rock (LT),2020-07-16,1
2020-07-13,Dundrum N (ASP),2020-07-15,2
2020-07-13,Killough (LT),2020-07-15,1
2020-07-20,Belfast (LT/ASP),2020-07-20,4
2020-07-20,Larne (LT),2020-07-21,1
2020-07-20,Paddy's Point (LT),2020-07-21,1
2020-07-20,Skate Rock (LT),2020-07-21,1
2020-07-20,Dundrum N (LT/ASP),2020-07-21,2
2020-07-20,Killough (LT),2020-07-21,1
2020-07-20,Carlingford (LT/PSP/ASP),2020-07-22,4
2020-07-27,Belfast (ASP),2020-07-27,4
2020-07-27,Larne (LT),2020-07-28,1
2020-07-27,Paddy's Point (LT/PSP/ASP),2020-07-28,1
2020-07-27,Skate Rock (LT/PSP/ASP) ,2020-07-27,1
2020-07-27,Dundrum N (ASP),2020-07-27,2
2020-07-27,Killough (LT),2020-07-27,1
2020-08-03,Belfast (LT/PSP/ASP),2020-08-03,4
2020-08-03,Larne (LT/PSP/ASP),2020-08-04,1
2020-08-03,Paddy's Point (LT),2020-08-04,1
2020-08-03,Skate Rock (LT),2020-08-04,1
2020-08-03,Dundrum N (LT/PSP/ASP),2020-08-04,2
2020-08-03,Killough (LT/PSP/ASP),2020-08-04,1
2020-08-03,Foyle (LT/PSP/ASP),2020-08-04,2
2020-08-03,Carlingford (LT/PSP/ASP) ,2020-08-05,3
2020-08-10,Belfast (LT),2020-08-10,4
2020-08-10,Larne (LT),2020-08-11,1
2020-08-10,Paddy's Point (LT),2020-08-10,1
2020-08-10,Skate Rock (LT),2020-08-10,1
2020-08-10,Dundrum N (LT),2020-08-10,2
2020-08-17,Belfast (LT),2020-08-17,4
2020-08-17,Larne (LT),2020-08-18,1
2020-08-17,Paddy's Point (LT),2020-08-18,1
2020-08-17,Skate Rock (LT),2020-08-18,1
2020-08-17,Dundrum N (LT),2020-08-18,2
2020-08-17,Carlingford (LT/PSP/ASP),2020-08-19,4
2020-08-24,24th Belfast (4 LT) PM,2020-08-24,4
2020-08-24,25th Larne (1 LT) AM,2020-08-25,4
2020-08-24,24th Paddy's Point (1 LT/PSP/ASP) PM,2020-08-24,1
2020-08-24,24th Skate Rock (1 LT/PSP/ASP) PM ,2020-08-24,1
2020-08-24,24th Dundrum N (2 LT) PM,2020-08-24,2
2020-08-24,26th Carlingford (3 LT/PSP/ASP) ,2020-08-26,3
2020-08-31,Belfast (LT),2020-09-01,4
2020-08-31,Larne (LT),2020-09-02,1
2020-08-31,Paddy's Point (LT),2020-09-01,1
2020-08-31,Skate Rock (LT),2020-09-01,1
2020-08-31,Dundrum N (LT),2020-09-02,2
2020-09-07,Belfast (LT/PSP/ASP),2020-09-07,4
2020-09-07,Larne (LT/PSP/ASP),2020-09-08,1
2020-09-07,Paddy's Point (LT),2020-09-07,1
2020-09-07,Skate Rock (LT),2020-09-07,1
2020-09-07,Dundrum N (LT/PSP/ASP),2020-09-07,2
2020-09-07,Killough (LT/PSP/ASP),2020-09-07,1
2020-09-07,Foyle (LT/PSP/ASP) +2oys? ,2020-09-08,2
2020-09-07,Carlingford (LT/PSP/ASP),2020-09-08,4
2020-09-14,Larne (LT),2020-09-15,1
2020-09-14,Paddy's Point (LT),2020-09-15,1
2020-09-14,Skate Rock (LT),2020-09-15,1
2020-09-14,Dundrum N (LT),2020-09-15,2
2020-09-21,Larne (LT),2020-09-22,1
2020-09-21,Paddy's Point (LT/PSP/ASP),2020-09-21,1
2020-09-21,Skate Rock (LT/PSP/ASP) ,2020-09-21,1
2020-09-21,Dundrum N (LT),2020-09-21,2
2020-09-21,Carlingford (LT/PSP/ASP) ,2020-09-23,3
2020-09-28,Larne (LT),2020-09-29,1
2020-09-28,Paddy's Point (LT),2020-09-29,1
2020-09-28,Skate Rock (LT),2020-09-29,1
2020-09-28,Dundrum N (LT),2020-09-29,2
