WeekBeginning,Location,DateOfSample,NoOfBedsBeingSampled
2018-10-01,Belfast,2018-10-01,4
2018-10-01,Dundrum N,2018-10-01,1
2018-10-01,Larne (Oyster),2018-10-02,1
2018-10-08,Belfast,2018-10-08,4
2018-10-08,Carlingford,2018-10-09,4
2018-10-15,Belfast,2018-10-15,4
2018-10-15,Killough,2018-10-15,2
2018-10-15,Dundrum S,2018-10-15,1
2018-10-15,Larne (Mussel),2018-10-16,1
2018-10-15,Larne (Oyster),2018-10-16,1
2018-10-15,Skate Rock,2018-10-16,1
2018-10-15,Paddys Point,2018-10-16,2
2018-10-22,Belfast,2018-10-22,4
2018-10-22,Foyle,2018-10-23,4
2018-10-22,Carlingford,2018-10-24,3
2018-10-29,Belfast,2018-10-29,4
2018-10-29,Larne (Oyster),2018-10-30,1
2018-11-05,Belfast,2018-11-05,4
2018-11-05,Dundrum N,2018-11-05,1
2018-11-05,Carlingford,2018-11-07,4
2018-11-12,Belfast,2018-11-12,4
2018-11-12,Paddys Point,2018-11-12,2
2018-11-12,Skate Rock,2018-11-13,1
2018-11-19,Belfast,2018-11-19,4
2018-11-19,Killough,2018-11-19,2
2018-11-19,Dundrum S,2018-11-19,1
2018-11-19,Foyle,2018-11-20,4
2018-11-19,Larne (Mussel),2018-11-20,1
2018-11-19,Larne (Oyster),2018-11-20,1
2018-11-19,Carlingford,2018-11-21,3
2018-11-26,Belfast,2018-11-26,4
2018-12-03,Belfast,2018-12-03,4
2018-12-03,Dundrum N,2018-12-03,1
2018-12-03,Larne (Oyster),2018-12-04,1
2018-12-03,Carlingford,2018-12-05,4
2018-12-10,Belfast,2018-12-10,4
2018-12-10,Skate Rock,2018-12-10,1
2018-12-10,Paddys Point,2018-12-11,2
2018-12-17,Belfast,2018-12-17,4
2018-12-17,Killough,2018-12-17,2
2018-12-17,Dundrum S,2018-12-17,1
2018-12-17,Larne (Mussel),2018-12-18,1
2018-12-17,Larne (Oyster),2018-12-18,1
2018-12-17,Foyle,2018-12-18,4
2018-12-17,Carlingford,2018-12-19,3
2018-12-24,No Sampling Scheduled,,0
2018-12-31,Belfast,2018-12-31,4
2018-12-31,Larne (Oyster),2019-01-02,1
2019-01-07,Belfast,2019-01-07,4
2019-01-07,Skate Rock,2019-01-07,1
2019-01-07,Paddys Point,2019-01-08,2
2019-01-07,Foyle,2019-01-08,2
2019-01-07,Carlingford,2019-01-09,4
2019-01-14,Belfast,2019-01-14,4
2019-01-14,Dundrum N,2019-01-14,1
2019-01-14,Larne (Mussel),2019-01-15,1
2019-01-14,Larne (Oyster),2019-01-15,1
2019-01-21,21st Belfast,2019-01-21,4
2019-01-21,22nd Carlingford,2019-01-22,3
2019-01-28,Belfast,2019-01-28,4
2019-01-28,Killough,2019-01-28,2
2019-01-28,Dundrum S,2019-01-28,1
2019-02-04,Belfast,2019-02-04,4
2019-02-04,Foyle,2019-02-05,2
2019-02-04,Carlingford,2019-02-05,4
2019-02-11,Belfast,2019-02-11,4
2019-02-11,Dundrum N,2019-02-11,1
2019-02-11,Paddys Point,2019-02-11,2
2019-02-11,Larne (Oyster),2019-02-12,1
2019-02-11,Skate Rock,2019-02-12,1
2019-02-18,Belfast,2019-02-18,4
2019-02-18,Carlingford,2019-02-19,3
2019-02-25,Belfast,2019-02-25,4
2019-02-25,Killough,2019-02-25,2
2019-02-25,Dundrum S,2019-02-25,1
2019-02-25,Larne (Mussel),2019-02-26,1
2019-02-25,Larne (Oyster),2019-02-26,1
2019-03-04,Belfast,2019-03-04,4
2019-03-04,Foyle,2019-03-05,2
2019-03-04,Carlingford,2019-03-05,4
2019-03-11,Belfast,2019-03-11,4
2019-03-11,Dundrum N,2019-03-11,1
2019-03-11,Paddys Point,2019-03-11,2
2019-03-11,Larne (Oyster),2019-03-12,1
2019-03-11,Skate Rock,2019-03-12,1
2019-03-18,Belfast,2019-03-18,4
2019-03-18,Carlingford,2019-03-20,3
2019-03-25,Belfast,2019-03-25,4
2019-03-25,Killough,2019-03-25,2
2019-03-25,Dundrum S,2019-03-25,1
2019-03-25,Larne (Mussel),2019-03-26,1
2019-03-25,Larne (Oyster),2019-03-26,1
