WeekBeginning,Location,DateOfSample,NoOfSamples
2020-10-05,Belfast (LT/PSP/ASP),2020-10-05,4
2020-10-05,Larne (LT/PSP/ASP),2020-10-06,1
2020-10-05,Paddy's Point (LT),2020-10-06,1
2020-10-05,Skate Rock (LT),2020-10-05,1
2020-10-05,Dundrum N (LT/PSP/ASP),2020-10-05,2
2020-10-05,Killough (LT/PSP/ASP),2020-10-05,1
2020-10-05,Foyle (LT/PSP/ASP),2020-10-06,4
2020-10-05,Carlingford (LT/PSP/ASP),2020-10-07,4
2020-10-12,Larne (LT),2020-10-13,1
2020-10-12,Paddy's Point (LT),2020-10-13,1
2020-10-12,Skate Rock (LT),2020-10-13,1
2020-10-12,Dundrum N (LT),2020-10-12,2
2020-10-12,Killough (LT),2020-10-12,1
2020-10-19,Belfast (LT),2020-10-19,4
2020-10-19,Larne (LT),2020-10-20,1
2020-10-19,Paddy's Point (LT/PSP/ASP),2020-10-19,1
2020-10-19,Skate Rock (LT/PSP/ASP),2020-10-20,1
2020-10-19,Dundrum N (LT),2020-10-20,2
2020-10-19,Killough (LT),2020-10-20,1
2020-10-19,Carlingford (LT/PSP/ASP),2020-10-21,3
2020-10-26,Larne (LT),2020-10-27,1
2020-10-26,Paddy's Point (LT),2020-10-27,1
2020-10-26,Skate Rock(LT),2020-10-27,1
2020-10-26,Dundrum N (LT),2020-10-26,2
2020-10-26,Killough (LT),2020-10-26,1
2020-11-02,Belfast (LT/PSP/ASP) ,2020-11-02,4
2020-11-02,Larne (LT/PSP/ASP) ,2020-11-03,1
2020-11-02,Paddy's Point (LT) ,2020-11-03,1
2020-11-02,Skate Rock (LT),2020-11-02,1
2020-11-02,Foyle (LT/PSP/ASP),2020-11-03,4
2020-11-02,Carlingford (LT/PSP/ASP) ,2020-11-03,4
2020-11-09,Paddy's Point (LT),2020-11-10,1
2020-11-09,Skate Rock (LT),2020-11-10,1
2020-11-09,Dundrum N (LT/PSP/ASP) ,2020-11-09,2
2020-11-09,Killough (LT/PSP/ASP),2020-11-09,1
2020-11-16,Larne (LT),2020-11-17,1
2020-11-16,Paddy's Point (LT/PSP/ASP),2020-11-17,1
2020-11-16,Skate Rock (LT/PSP/ASP),2020-11-16,1
2020-11-16,Carlingford (LT/PSP/ASP),2020-11-17,3
2020-11-23,Paddy's Point (LT),2020-11-23,1
2020-11-23,Skate Rock (LT),2020-11-23,1
2020-11-30,Larne (LT),2020-12-01,1
2020-11-30,Paddy's Point (LT),2020-12-01,1
2020-11-30,Skate Rock (LT),2020-11-30,1
2020-11-30,Carlingford (LT/PSP/ASP),2020-12-01,4
2020-12-07,Belfast (LT/PSP/ASP) ,2020-12-07,4
2020-12-07,Larne (LT/PSP/ASP),2020-12-08,1
2020-12-07,Paddy's Point (LT),2020-12-07,1
2020-12-07,Skate Rock (LT),2020-12-07,1
2020-12-07,Dundrum N (LT/PSP/ASP),2020-12-07,2
2020-12-07,Killough (LT/PSP/ASP),2020-12-07,1
2020-12-07,Foyle (LT/PSP/ASP) ,2020-12-08,4
2020-12-14,Paddy's Point (LT/PSP/ASP),2020-12-15,1
2020-12-14,Skate Rock (LT/PSP/ASP),2020-12-14,1
2020-12-14,Carlingford (LT/PSP/ASP),2020-12-15,3
2020-12-21,Larne (LT) ,2020-12-21,1
2020-12-21,Paddy's Point (LT),2020-12-21,1
2020-12-21,Skate Rock (LT) ,2020-12-21,1
2020-12-21,Dundrum N (LT),2020-12-21,2
2020-12-28,Paddy's Point (LT),2020-12-29,1
2020-12-28,Skate Rock (LT) ,2020-12-29,1
